iter	Passed	Remaining
248	503	1519
249	504	1514
250	505	1509
251	507	1505
252	508	1500
253	509	1496
254	510	1491
255	511	1487
256	513	1483
257	514	1478
258	515	1474
259	516	1470
260	517	1465
261	518	1461
262	519	1456
263	521	1452
264	522	1448
265	523	1444
266	524	1440
267	525	1436
268	526	1431
269	528	1427
270	529	1423
271	530	1419
272	531	1414
273	532	1411
274	533	1406
275	534	1402
276	535	1398
277	537	1395
278	538	1391
279	539	1387
280	540	1384
281	542	1380
282	543	1376
283	544	1372
284	545	1368
285	546	1364
286	547	1360
287	548	1356
288	549	1352
289	551	1349
290	552	1345
291	553	1342
292	554	1338
293	555	1334
294	557	1331
295	558	1327
296	559	1324
297	560	1320
298	561	1317
299	563	1313
300	564	1310
301	565	1306
302	566	1303
303	567	1299
304	568	1296
305	570	1293
306	571	1289
307	572	1286
308	573	1283
309	575	1279
310	576	1276
311	577	1273
312	578	1269
313	579	1266
314	580	1263
315	582	1260
316	583	1256
317	584	1253
318	585	1250
319	587	1247
320	588	1244
321	589	1240
322	590	1237
323	591	1234
324	592	1231
325	594	1228
326	595	1224
327	596	1221
328	597	1218
329	598	1215
330	600	1213
331	601	1210
332	602	1207
333	604	1204
334	605	1201
335	606	1198
336	608	1196
337	609	1193
338	610	1190
339	611	1187
340	612	1184
341	614	1181
342	615	1178
343	616	1175
344	617	1172
345	618	1169
346	619	1165
347	620	1162
348	621	1159
349	622	1156
350	623	1153
351	625	1150
352	626	1147
353	627	1145
354	628	1142
355	629	1139
356	630	1136
357	631	1133
358	632	1130
359	634	1127
360	635	1124
361	636	1121
362	637	1118
363	638	1115
364	639	1112
365	640	1110
366	642	1107
367	643	1104
368	644	1102
369	645	1099
370	647	1097
371	648	1094
372	649	1091
373	650	1088
374	651	1086
375	653	1083
376	654	1081
377	655	1078
378	656	1076
379	657	1073
380	658	1070
381	660	1068
382	661	1065
383	662	1062
384	663	1060
385	664	1057
386	665	1054
387	667	1052
388	668	1049
389	669	1047
390	670	1044
391	671	1041
392	672	1039
393	674	1036
394	675	1034
395	676	1032
396	677	1029
397	679	1027
398	680	1024
399	681	1022
400	682	1019
401	683	1017
402	685	1015
403	686	1012
404	687	1010
405	688	1007
406	690	1005
407	691	1003
408	692	1000
409	693	998
410	694	995
411	696	993
412	697	990
413	698	988
414	699	985
415	700	983
416	701	980
417	702	978
418	703	975
419	704	973
420	705	970
421	706	967
422	707	965
423	708	962
424	709	959
425	710	957
426	711	954
427	712	952
428	713	949
429	714	946
430	715	944
431	716	941
432	717	939
433	718	936
434	719	933
435	720	931
436	721	929
437	722	926
438	723	924
439	724	921
440	725	919
441	726	916
442	727	914
443	728	912
444	729	910
445	731	908
446	732	905
447	733	903
448	734	901
449	736	899
450	737	897
451	738	895
452	739	893
453	740	890
454	741	888
455	742	886
456	743	883
457	745	881
458	746	879
459	747	877
460	748	874
461	749	872
462	750	870
